census_chapter,census_table,census_row,census_column,sector_desc,short_desc,commodity_desc,agg_level_desc,state_fips_code,state_alpha,state_name,county_code,county_name,domaincat_desc,value
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,13,GA,GEORGIA,,,,"3,631,877"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,39,OH,OHIO,,,,"72,398"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,9,CT,CONNECTICUT,,,,"213,985"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,12,FL,FLORIDA,,,,"3,615,319"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,40,OK,OKLAHOMA,,,,"72,234"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,16,ID,IDAHO,,,,"5,665,398"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,10,DE,DELAWARE,,,,"187,769"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,15,HI,HAWAII,,,,"347,305"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,17,IL,ILLINOIS,,,,"8,783,539"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,18,IN,INDIANA,,,,"5,873,818"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,21,KY,KENTUCKY,,,,"5,223,082"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,20,KS,KANSAS,,,,"19,643,906"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,19,IA,IOWA,,,,"14,057,276"
2,47,1,3,DEMOGRAPHICS,"PRODUCERS, FEMALE - ACRES OPERATED",PRODUCERS,STATE,22,LA,LOUISIANA,,,,"2,967,027"
2,46,1,1,DEMOGRAPHICS,"PRODUCERS, MALE - NUMBER OF OPERATIONS",PRODUCERS,STATE,42,PA,PENNSYLVANIA,,,,"49,448"
